domain,scan url,category
datacenters.cio.gov,https://datacenters.cio.gov,HSTS
datacenters.cio.gov,https://datacenters.cio.gov,Banner
datacenters.cio.gov,https://datacenters.cio.gov,DAP
digitaldashboard.gov,https://digitaldashboard.gov,HSTS
digitaldashboard.gov,https://digitaldashboard.gov,Contact
digitaldashboard.gov,https://digitaldashboard.gov,DAP
extportal.pbs.gsa.gov,https://extportal.pbs.gsa.gov/pbs/en/portal/home,HSTS
extportal.pbs.gsa.gov,https://extportal.pbs.gsa.gov/pbs/en/portal/home,Contact
extportal.pbs.gsa.gov,https://extportal.pbs.gsa.gov/pbs/en/portal/home,DAP
data.gov,https://www.data.gov/,HSTS
data.gov,https://www.data.gov/,Contact
data.gov,https://www.data.gov/,DAP
fbohome.sam.gov,https://fbohome.sam.gov,HSTS
fbohome.sam.gov,https://fbohome.sam.gov,Banner
fbohome.sam.gov,https://fbohome.sam.gov,DAP
design.login.gov,https://design.login.gov,HSTS
design.login.gov,https://design.login.gov,Identifier
design.login.gov,https://design.login.gov,Identifier Privacy
design.login.gov,https://design.login.gov,Identifier Accessibility
design.login.gov,https://design.login.gov,Identifier FOIA
design.login.gov,https://design.login.gov,Banner
design.login.gov,https://design.login.gov,DAP
designsystem.digital.gov,https://designsystem.digital.gov,HSTS
designsystem.digital.gov,https://designsystem.digital.gov,Identifier
designsystem.digital.gov,https://designsystem.digital.gov,Identifier Privacy
designsystem.digital.gov,https://designsystem.digital.gov,Identifier Accessibility
designsystem.digital.gov,https://designsystem.digital.gov,Identifier FOIA
designsystem.digital.gov,https://designsystem.digital.gov,Banner
designsystem.digital.gov,https://designsystem.digital.gov,DAP
dev.identitysandbox.gov,https://idp.dev.identitysandbox.gov/,HSTS
dev.identitysandbox.gov,https://idp.dev.identitysandbox.gov/,Banner
dev.identitysandbox.gov,https://idp.dev.identitysandbox.gov/,DAP
developers.login.gov,https://developers.login.gov,HSTS
developers.login.gov,https://developers.login.gov,Banner
developers.login.gov,https://developers.login.gov,DAP
fedpay.gsa.gov,https://fedpay.gsa.gov,HSTS
fedpay.gsa.gov,https://fedpay.gsa.gov,Contact
fedpay.gsa.gov,https://fedpay.gsa.gov,DAP
https.cio.gov,https://https.cio.gov,HSTS
https.cio.gov,https://https.cio.gov,Banner
https.cio.gov,https://https.cio.gov,DAP
digital.gov,https://digital.gov,HSTS
digital.gov,https://digital.gov,Identifier FOIA
digital.gov,https://digital.gov,Banner
digital.gov,https://digital.gov,Contact
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,HSTS
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,Identifier
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,Identifier Privacy
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,Identifier Accessibility
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,Identifier FOIA
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,Banner
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,Contact
digitalcorps.gsa.gov,https://digitalcorps.gsa.gov,DAP
labs.gsa.gov,https://labs.gsa.gov/s/,HSTS
labs.gsa.gov,https://labs.gsa.gov/s/,DAP
mobile.reginfo.gov,https://mobile.reginfo.gov/public/,HSTS
